iso_id,total_population,weighted_income
001a50da-023b-41b8-8243-921086a263af_8min,69862.0,130476.42008531104
004d1e46-4e9d-4911-ae29-f0af4681c35e_8min,78172.0,84586.5021618994
0069d782-cb18-4ce6-9be1-67eee007dc50_8min,113366.0,121598.55678069263
00ce47d5-255f-4b1a-b283-d856e0f010c0_8min,137383.0,76046.21284292816
00cf5a22-32df-411f-80db-ee2ba31a2d59_8min,189674.0,85354.64050950579
0102a9f6-b57b-4cb5-8262-bc5f4b93ca61_8min,112913.0,98366.28042829435
010cab8d-90e1-42e9-b459-9fe17227db71_8min,135520.0,83291.2560581464
0140a655-b523-46e8-aed2-34bcaea1cb0f_8min,119554.0,102228.36258929019
01854994-801c-4643-882b-45ff4a1e4d05_8min,127204.0,146413.26964560864
01955f22-a13b-4d0a-a3e9-0c79d7e65c7f_8min,214766.0,63315.59309667266
01b51b68-993f-445c-a3b2-05c073570cf9_8min,66246.0,63224.25298131208
01e71b5c-1570-430c-82fc-9d5e76a912c9_8min,110951.0,135076.6890519238
022a6450-427f-4a20-8c21-cccf2a94551d_8min,89684.0,142583.202009277
027d24f1-df3c-45d3-9968-5599165889b8_8min,107194.0,72520.3352799597
02c8d25e-8bbb-409f-a727-3789e89b3edf_8min,189392.0,88807.03864999578
03025da0-cd84-4d83-91f4-fe01b267d86c_8min,68773.0,126223.87308972998
03a3010e-654f-4dde-af6e-b016ee225852_8min,96490.0,148892.40116074204
03ab9809-b9fa-4cac-9760-60435ba0942a_8min,93942.0,61443.38639799025
03d04214-aeb4-4c28-847d-feaeedc0b0db_8min,92036.0,104543.39905037159
043032f0-b8c3-4e10-a3ac-e896b389a95f_8min,155447.0,108994.49024426332
04b93609-667b-44b7-bdfe-ac741fa2fef4_8min,49370.0,109336.60789953412
04c0112d-4dfb-485e-bc55-7720926a23a0_8min,80926.0,135541.218829548
04c40bb9-b14e-47b2-803e-341c8cb3210f_8min,127803.0,111862.26101108738
04df8100-2353-4f76-bae7-aa749dbaf170_8min,171547.0,131800.6065742916
04fe02e2-55e7-4217-9523-964caf127bd7_8min,133716.0,93060.3132011128
05230fb3-7e33-45c9-a0d5-54c749f604e9_8min,195179.0,149130.0091761921
054dec44-f4e9-426a-8e8f-21a06d3e7f27_8min,100171.0,136471.34312325923
05b24050-32c0-4195-ad26-fb071c883502_8min,84187.0,113322.54289854728
06305eaf-7007-4fe5-8c20-5cc449a13383_8min,64613.0,171872.6433225512
06b369e1-1a1c-49b3-bb7e-854868773be3_8min,119590.0,66804.9313989464
06b4695e-b5dd-4b6e-8c99-e6d2ce3b035d_8min,114323.0,137707.74295636048
06f294eb-6b51-469f-8e07-a80f4c778fdb_8min,98503.0,177067.54654172968
075c0b54-db84-4fc7-9dea-38a5f4a86670_8min,108171.0,139680.79046139907
07718da1-4259-4639-9c1b-ed9b11aab3b0_8min,249209.0,119955.19277393674
07ab789b-3c14-4903-bb46-8f9f890917d4_8min,188709.0,124727.7846207653
07cc5fa0-50c6-4484-9f79-7e7e967695f6_8min,134327.0,107569.49000573228
07d6c6a1-9ff7-4833-89ab-e042eeceac37_8min,107883.0,92915.23198279618
07efd5ab-b59c-493d-b481-e75bad731f87_8min,74247.0,72168.84105755115
08715b4b-72d4-405b-8ff8-1141c26c8955_8min,135013.0,133443.99609667217
087cc6cd-e368-48e8-b735-1f6d27f8715d_8min,101545.0,90854.74996307056
089e247b-4b47-4369-bced-c08371380546_8min,209178.0,67464.70659916435
08ade1ef-88e1-4e62-b9f2-52ba1868170f_8min,62783.0,107551.17601898604
0902ce40-3537-47f4-bbab-a3169c2b0aee_8min,96747.0,152728.77780189566
090b341c-e411-4bfe-93db-00dca9120002_8min,168883.0,172541.2144502407
090cb168-7f83-4ae5-9dbe-9b9e4a5c7959_8min,126064.0,133471.7317156365
0969bbe8-8f6d-4762-8bd8-8925d6035e7d_8min,124391.0,137792.4664646156
0983cee1-0de3-4b70-88ab-1a0df678d58d_8min,180090.0,64273.416619468044
098f68a4-a208-4571-b780-a7a84bb11c23_8min,143423.0,120813.21001513007
09bb0ee0-aa1f-4c5a-bba3-c0ac53dcc591_8min,61461.0,93859.67595711102
09bce986-53d9-4b52-a8b3-59041bb13204_8min,170630.0,61253.089351227805
0a48b6cc-6750-463f-a114-d8aa007add30_8min,176391.0,108571.40121094613
0a5acbb3-cfd0-4ebf-b5f4-c4fcddd6680a_8min,91764.0,117455.53106882873
0a68b3a6-5626-48ce-9003-04e7c6786c08_8min,94273.0,79846.2446087427
